NOM|ARRONDISSEMENT|NO_CIVIQUE|RUE|ANC_VILLE|VOCATION
Centre Monseigneur-Marcoux (LOCATION)|1|1885|Canardière, Chemin de la |Québec|Centre communautaire
Toilettes Maison Robert-Paré (LOCATION)|1|15|Notre-Dame, Rue |Québec|Bâtiment accessoire
Bâtiment de services soccer du Foulon|3|2349|Foulon, Chemin du |Sillery|Pavillon de services et de loisirs
Centre commun. Jean-Guy Drolet/TIT (PROP TIERS)|1|16|Royal-Roussillon, Rue |Québec|Centre communautaire
Les loisirs Montcalm/TIT (PROP TIERS)|1|265|René-Lévesque Ouest, Boulevard |Québec|Centre communautaire
Centre Durocher/TIT (PROP TIERS)|1|290|Durocher, Rue |Québec|Centre communautaire
Toilette Quartier du Petit-Champlain (LOCATION)|1|64|Champlain, Boulevard|Québec|Bâtiment accessoire
Pavillon de service Parc Ross|3|1290|Ernest-Lavigne, Avenue |Sillery|Pavillon de services et de loisirs
Pavillon piscine Parc Saint-Denys|3|980|Joli-Bois, Rue du |Sainte-Foy|Pavillon de services et de loisirs
Pavillon Parc N.-D.-des-Laurentides|4|90|Vallon, Rue du |Charlesbourg|Pavillon de services et de loisirs
Pavillon Parc linéaire Lac St-Charles|6|433|Delage, Rue |Lac-Saint-Charles|Pavillon de services et de loisirs
École primaire Trois-Saisons (LOCATION)|3|1469|Buffon, Rue |Sainte-Foy|Pavillon de services et de loisirs
Centre culturel et commun. D'Estimauville(PROJETÉ)|1|2875|Sainte-Anne, Boulevard |Beauport|Centre communautaire
Maison des jeunes St-Jean-Baptiste (LOUÉ)|1|655|Saint-Gabriel, Rue |Québec|Centre communautaire
Refuge Parc du Mont-Bélair (À L'ÉTUDE)|6||Gaudar, Rue |Val-Bélair|Pavillon de services et de loisirs
Caisse populaire des Rivières (EN ACQUISITION)|2|2615|Masson, Boulevard |Québec|Centre communautaire
Pavillon de service Parc Victoria (PROJETÉ)|1||Robert-Rumilly, Rue |Québec|Pavillon de services et de loisirs
Chalet St-Vincent-Paul (LOUÉ)|4|45|Moïse-Verret, Rue |Charlesbourg|Pavillon de services et de loisirs
Bâtiment de service Parc Saint-Jérôme|4|585|64e Est, Rue |Charlesbourg|Pavillon de services et de loisirs
Y.M.C.A. (PROJETÉ)|1||Cardinal-Maurice-Roy, Rue du |Québec|Centre communautaire
Maison de la danse La Rotonde (LOCATION)|1|336|Roi, Rue du |Québec|Centre communautaire
Centre communautaire Les Saules (LOCATION)|2|4124|De Musset, Rue |Québec|Centre communautaire
